GeneIDs	GSM1666235_salmon	GSM1666236_salmon	GSM1666237_salmon	GSM1666238_salmon	GSM1666239_salmon	GSM1666240_salmon	GSM1666235_fc	GSM1666236_fc	GSM1666237_fc	GSM1666238_fc	GSM1666239_fc	GSM1666240_fc
hsa_piR_020619_DQ598378	1.774346873796257	2.9832391079930898	0	76.7044374375509	77.60837538705326	81.3248035200846	2.321483500906246	3.640380401851477	0	110.87061015613466	116.47108075052746	111.57045884270258
hsa_piR_020809_DQ598639	2.1864596939504923	1.8844168422424168	7.654705485433173	19.243360527125812	15.994176169598122	19.581118251033352	1.9210275969999189	2.2235443494508815	28.647622236818513	29.956682966977883	26.560761403338677	26.192493433072556
hsa_piR_021190_DQ599117	7.396443121060528	5.224441274339401	41.960358630628555	156.8925706471197	150.93131393180596	147.5614820594849	1.2303862554803104	1.0542541643761876	22.692362248760336	26.922864861771515	24.311664671604355	23.389949764523717
hsa_piR_016946_DQ593358	196.78952383702443	163.13558574776152	1177.9073409505077	181.37675919847064	193.81692026975287	200.7032130122351	32.564609808962366	30.001102967738387	287.5900490492434	48.0142589943739	48.11460508245928	48.0815548822123
hsa_piR_022628_DQ600952	140.95168168008806	117.83110898977888	511.42791024585995	233.0533332227652	241.21975473427432	223.04709311710417	18.69954959979981	18.27034116081219	136.36208780635957	52.62856916636442	50.65822638620644	48.360481029319054
hsa_piR_016926_DQ593325	86.6595114383127	77.93140743860448	41.677180923340295	94.55105791143636	70.60050859281196	94.04784612143644	NA	NA	NA	NA	NA	NA
hsa_piR_016984_DQ593431	58.6312539098016	45.366254619676894	4816.110100579392	1735.8076693943774	1780.0016090823972	1649.5812121941326	23.847439263059417	21.412717523690382	2392.870986473501	808.7577738064819	790.9323506599037	730.308346310376
URS0000573EBC_GR_chr1_155920020_155920047_28_-	0	0.13560205390268826	0	18.201052862739452	22.173821539158073	27.10826750822051	NA	NA	NA	NA	NA	NA
URS000043000B_GR_chr1_161523847_161523878_32_-	8.245780014664138	4.038841668251266	0	62.05879571272689	44.92098102326904	54.4383560858008	3.900092281522493	5.073234128020218	14.301534584788094	20.23756508502933	14.779778522825554	15.65971083042218
URS000044DA37_GR_chr1_161523848_161523879_32_-	0	1.0591496028858547	73.30498081379918	41.691917381134424	49.4282877994036	52.6047479940116	2.3446983359153086	1.9250331564990608	20.004327191806397	18.96590480140989	13.628455195866318	14.557288439476432
hsa_piR_000805_DQ571003	0	1.5507675230503122	1.0293755966156095	35.16304422473302	28.30972063796959	24.019426960344045	NA	NA	NA	NA	NA	NA
hsa_piR_020381_DQ597997	43.17576387491771	43.1213631886373	534.7722309975795	504.4291805826087	436.42112356643673	440.7603551262419	78.47194603938338	93.53884634949333	1331.2902022680778	1123.929691813819	1523.4952861390834	1449.8713948584011
hsa_piR_020365_DQ597975	90.5015051845508	84.74635210866592	1155.4899245432828	13469.268636943005	12306.18032831114	12364.52923554634	127.39721082098252	116.66836727069686	205.85002168198108	1419.5543746043777	1270.9270781575374	1264.0932986878202
URS000056FCD5_GR_chr11_122559988_122560016_29_+	0	0	6.3681139237716975	42.07649099810936	14.349133530444892	16.1628454288384	NA	NA	NA	NA	NA	NA
hsa_piR_008488_DQ581533	13.011874560974748	8.000504162233662	47.2449148788254	253.51466562016876	188.47748308284363	192.76990427152535	42.918426223004225	196.7479991984649	205.46389509921417	1045.0322545029733	2684.350499247099	2588.501056138106
hsa_piR_008033_DQ580927	0	0.4059200088377502	13.065362056457818	107.90309607782248	78.61383815510635	82.32640616303789	1.596019906873044	2.4011949130612336	24.41508084879712	69.63248381590432	49.640777864707566	54.031979353823104
URS00004CEA14_GR_chr12_124927842_124927869_28_-	566.5138062192244	490.7831483581698	187.7438424877898	120.04892440093086	105.27324621714958	103.30761979216506	41.56035837497407	39.87090231323811	17.49450440382178	13.624931610208256	11.432908386316145	11.621922796114852
