GeneIDs	TCGA-BH-A0BT-01A-11R-A12O-13_salmon	TCGA-BH-A0BT-11A-21R-A12O-13_salmon	TCGA-BH-A18L-01A-32R-A12C-13_salmon	TCGA-BH-A18L-11A-42R-A12C-13_salmon	TCGA-BH-A1FC-01A-11R-A13P-13_salmon	TCGA-BH-A1FC-11A-32R-A13P-13_salmon	TCGA-BH-A1FG-01A-11R-A13P-13_salmon	TCGA-BH-A1FG-11B-12R-A13P-13_salmon	TCGA-BH-A1FU-01A-11R-A14C-13_salmon	TCGA-BH-A1FU-11A-23R-A14C-13_salmon	TCGA-E9-A1N4-01A-11R-A14L-13_salmon	TCGA-E9-A1N4-11A-33R-A14L-13_salmon	TCGA-E9-A1N5-01A-11R-A14C-13_salmon	TCGA-E9-A1N5-11A-41R-A14C-13_salmon	TCGA-GI-A2C8-01A-11R-A16E-13_salmon	TCGA-GI-A2C8-11A-22R-A16E-13_salmon	TCGA-GI-A2C9-01A-11R-A21U-13_salmon	TCGA-GI-A2C9-11A-22R-A21U-13_salmon	TCGA-BH-A0BT-01A-11R-A12O-13_fc	TCGA-BH-A0BT-11A-21R-A12O-13_fc	TCGA-BH-A18L-01A-32R-A12C-13_fc	TCGA-BH-A18L-11A-42R-A12C-13_fc	TCGA-BH-A1FC-01A-11R-A13P-13_fc	TCGA-BH-A1FC-11A-32R-A13P-13_fc	TCGA-BH-A1FG-01A-11R-A13P-13_fc	TCGA-BH-A1FG-11B-12R-A13P-13_fc	TCGA-BH-A1FU-01A-11R-A14C-13_fc	TCGA-BH-A1FU-11A-23R-A14C-13_fc	TCGA-E9-A1N4-01A-11R-A14L-13_fc	TCGA-E9-A1N4-11A-33R-A14L-13_fc	TCGA-E9-A1N5-01A-11R-A14C-13_fc	TCGA-E9-A1N5-11A-41R-A14C-13_fc	TCGA-GI-A2C8-01A-11R-A16E-13_fc	TCGA-GI-A2C8-11A-22R-A16E-13_fc	TCGA-GI-A2C9-01A-11R-A21U-13_fc	TCGA-GI-A2C9-11A-22R-A21U-13_fc
hsa_piR_020813_DQ598646	98.47457094068189	45.596348704539146	133.6586324009523	78.4170230023996	24.531923823773212	74.06970830354891	180.0668900689403	77.98075612511889	52.90556048912141	133.0178883812572	41.735763187468514	141.5488515338271	38.19892036483716	68.7937466836894	72.4110905583072	5.503723826118346	38.00362192964179	75.51009827585804	21.38540382731278	9.374941193465276	37.515481486603385	17.288213748563507	5.648587107753681	16.440286506581376	47.21795999619166	13.640191736536194	10.654948404417253	30.748550269576462	8.36655920526497	25.17775378613609	9.19314457503024	15.335743243243217	15.722262742329676	1.2082618591640968	7.268237260293605	16.14832389117276
hsa_piR_020809_DQ598639	7.907051997343768	3.5993472257088492	5.991254568044089	3.441162474655014	0.3812847745711809	4.703361485255079	7.308969761057773	3.8199037946343712	1.1240369152216227	1.960771409294619	1.9176586406130924	1.4284514312938423	4.872711381692524	4.2006846165085685	2.481908928848727	3.4050911362839567	11.846023775719678	8.430732537795636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa_piR_004987_DQ576872	2.0004830490837215	12.827467105122947	14.875408639259556	15.295101923694054	3.537819211614051	17.33892267859829	9.340073187900911	24.949354760694597	3.0964732220585467	9.366369644935611	2.1836071125410723	7.921623145863957	2.3935354345647464	2.457409999127337	8.277976360220968	1.8697044449375315	11.317553019177598	31.11286948346052	18.654872139196517	43.60899797543053	111.15023722001746	64.75616641141684	38.909056663331405	77.09668603771267	227.73852990152935	73.40609813588497	50.59262868772276	79.09784166493073	122.90572758106396	121.40929606681416	34.42539245117707	21.07418483540899	87.0088027514941	227.38049782493104	41.62652685286481	82.39188441468008
hsa_piR_016984_DQ593431	16.68176329793635	33.80224229841025	68.1072464373834	6.765003668561837	19.021622951452496	24.284838161285524	9.927052767606291	7.250246508754256	25.5015237888166	8.410348993714145	83.204895764752	21.46408101338502	23.050143119407313	7.532508192221959	24.017114617453664	37.81851386622431	310.7873331173274	18.559163066710077	6.83009028322195	11.57587937431524	31.547254658382027	2.5810190384433116	7.943325620278612	8.90703193609991	5.310318474419504	2.317413770453732	9.217518602809529	3.1499959407017664	31.18975443265058	6.38135008573856	9.61857201015132	2.9909097721047955	9.287456473474087	16.00659281997389	105.39033427638032	5.8951984074029085
hsa_piR_000805_DQ571003	8.643260016503834	1.8942771541278376	3.366700473578819	3.1332468790831456	11.669056255297711	2.7181576211798633	8.416871097763467	1.002731915183212	7.531288996111544	1.3073022075311491	4.019196265656178	2.440456534380676	3.810540264361972	2.1998732390271805	5.792889402918194	2.189981060369851	2.545587044195691	0.7976281700999969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa_piR_001042_DQ571335	30.29989343448347	12.898994978006494	171.22134217122442	22.36975352638622	14.949170829147848	24.123621886716496	71.56506566255395	19.896346161423136	30.06748841266441	41.50682415075404	36.93856723965087	61.03744816055092	11.378418668166312	25.469452243389675	31.309179141957745	3.931292214489954	45.90537713210279	36.183436056636346	9.372568824773731	3.4022965390854125	68.7048981338715	6.961423589492213	4.805712000268561	8.83571562476999	28.3569997926504	4.901900436421941	7.515471042269473	13.762261935991972	9.913399802517448	16.07943624058001	4.195594704987205	8.380411890858339	10.770240277749748	1.1593560220074548	12.771714329711497	10.1889562630551
hsa_piR_020365_DQ597975	11.989493313927952	65.79692417292048	86.43733584405479	109.71037852074944	7.723105531635908	92.90401682277997	84.81588955452806	95.75472301583918	30.474010941071576	121.33721358837468	29.596530696308932	89.75896548976739	11.144561874163	29.505046667572472	34.913561605723885	19.767231457030597	31.302148278093068	153.80389885235866	2.07610673807187	5.128279089935311	11.824629277969605	9.105487774949854	4.439436430000158	10.352125613048273	24.272139427712325	11.100217219820395	5.493268662280426	13.725246707546592	10.234442190626453	13.273208178336205	4.4156433783256945	3.982015167174816	7.730384903453157	15.995085564172328	3.6725607214374087	6.517360851724181
hsa_piR_008488_DQ581533	3.4431712424201426	1.7998608127038038	3.6871366842521183	4.424790374702849	1.533248815103751	6.455624350302176	22.31599628033136	7.059993889683522	18.07336062097178	2.2877775545320143	17.74971248282915	17.941590486485396	6.908329844474527	2.3631460194218348	3.999853662741592	19.91856527020297	4.327148705123777	1.8398366577088603	7.999780854853022	6.739403089739444	12.652129678670532	10.386498275628345	6.006036760666217	16.883198334840873	38.51872033011983	9.636880313147334	31.72472909866501	7.554808125701887	39.619549259815805	17.866214264586805	25.887503925643664	6.30143637279726	15.283964924432563	22.954098510167448	12.326501272438897	4.1319398208062985
URS00004CEA14_GR_chr12_124927842_124927869_28_-	4.788202925855626	10.184946518248234	3.909425986922753	7.085108827326903	5.362796309741945	7.330585924112821	14.491400159512631	3.529994841440776	4.369653215663116	1.3073022075311491	7.991811612498978	7.948639517396602	0.8127429152575996	77.11339604327776	3.4702919649594253	1.0037629858068042	5.091144352438301	1.48085795718764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa_piR_017936_DQ594740	6.1977087302152984	23.698167367266752	7.835165728290247	22.615596465537067	19.54891989913281	16.30894455311158	3.4628268804455735	31.12815825543044	42.0616394584921	17.321747706550244	15.830824255421522	11.540319419663698	1.6254891782451837	5.776579558985898	8.827260898991858	139.69204717202496	16.74418434146122	24.837796660642887	14.905092396700764	23.03379591242131	12.652129678670532	26.730238180471268	35.39634155569708	24.05611785860275	20.12171957543573	27.82009328275789	37.23923251937828	19.603264984672805	23.815508063358894	20.81807804657875	3.8141770045338226	11.934316443594629	34.40117856132124	143.5472624965955	17.307881102002977	25.85740598192625
