GeneIDs	TCGA-BH-A0BT-01A-11R-A12O-13	TCGA-BH-A0BT-11A-21R-A12O-13	TCGA-BH-A18L-01A-32R-A12C-13	TCGA-BH-A18L-11A-42R-A12C-13	TCGA-BH-A1FC-01A-11R-A13P-13	TCGA-BH-A1FC-11A-32R-A13P-13	TCGA-BH-A1FG-01A-11R-A13P-13	TCGA-BH-A1FG-11B-12R-A13P-13	TCGA-BH-A1FU-01A-11R-A14C-13	TCGA-BH-A1FU-11A-23R-A14C-13	TCGA-E9-A1N4-01A-11R-A14L-13	TCGA-E9-A1N4-11A-33R-A14L-13	TCGA-E9-A1N5-01A-11R-A14C-13	TCGA-E9-A1N5-11A-41R-A14C-13	TCGA-GI-A2C8-01A-11R-A16E-13	TCGA-GI-A2C8-11A-22R-A16E-13	TCGA-GI-A2C9-01A-11R-A21U-13	TCGA-GI-A2C9-11A-22R-A21U-13
URS00003BE447_GR_chr1_629499_629566_68_+	35.79001003392054	169.83897548906094	30.146246124462607	29.907282934576987	28.108421297028944	21.48724996074821	56.87969325755698	70.66222786825765	32.83335858773526	75.43998017960868	29.56157023240483	26.822285870969946	11.959690549585297	14.765468380401705	77.98791659087618	106.7424418457168	20.97816357357641	54.76623265806303
URS00000A75D2_GR_chr1_629499_629570_72_+	35.79001003392054	169.83897548906094	30.310066612042558	30.03329322755153	28.108421297028944	21.48724996074821	57.09917038850912	70.66222786825765	32.83335858773526	75.43998017960868	29.809861600054795	26.940877596509225	11.959690549585297	15.379161995547246	78.2012648072808	107.23810374327607	20.97816357357641	54.78652987201969
URS0000DD9C04_GR_chr1_630757_630824_68_+	12.627649192402833	23.851594078990953	24.87122642438818	10.494137198919573	13.893591098245736	9.53285485529546	76.71603635301152	16.069359915881744	16.38039569486571	6.046486191951678	59.18273039304565	10.565732134045934	21.594335259354956	6.996107212659163	33.84464670092952	138.86794163285913	10.349930697446439	2.682131844273107
URS00000133BF_GR_chr1_630757_630825_69_+	12.627649192402833	23.851594078990953	24.87122642438818	10.494137198919573	13.893591098245736	9.53285485529546	76.71603635301152	16.069359915881744	16.38039569486571	6.046486191951678	59.18273039304565	10.591822313664576	21.594335259354956	6.996107212659163	33.84464670092952	138.98029166297258	10.349930697446439	2.682131844273107
URS000083167E_GR_chr1_630916_630981_66_-	12.549844822763875	3.2150611083263403	17.882644424227465	4.087773904094031	4.09178304309607	2.2786867965508883	4.784601454756683	3.9134372438781613	5.345233834782498	2.757980322775719	10.567280607182509	10.193354115852607	3.323035353425594	11.954751623035131	10.083751056781065	15.861180721897057	6.235423977301651	1.6179779125452904
URS0000762794_GR_chr1_630996_631059_64_-	451.7243896868245	68.55611947247617	37.99980029904547	19.13340288525394	13.4719647787903	6.536416560136799	42.39859215733468	21.86001972934651	21.869114671155792	15.539507139241088	123.38591223997358	47.0398032409058	17.95841670706786	15.765788973088938	94.83480610768359	572.5291446327766	11.164828580127635	3.8738682637285087
URS0000025325_GR_chr1_630996_631061_66_-	485.9544221094839	69.32334996423586	56.34769490799999	29.100817059539942	17.929157298747747	10.787177862571179	103.5361417553632	23.86834105193544	27.026333492928355	19.30209966690237	204.85527579328007	62.09858054988312	29.281551783107346	31.580673435389517	156.74083892914607	577.5848959878814	14.10973856240633	5.352665280570979
URS00002E6CEB_GR_chr1_630997_631061_65_-	485.9544221094839	69.32334996423586	56.34769490799999	29.100817059539942	17.929157298747747	10.787177862571179	103.5361417553632	23.86834105193544	27.026333492928355	19.30209966690237	204.85527579328007	62.09858054988312	29.281551783107346	31.580673435389517	156.74083892914607	577.5848959878814	14.10973856240633	5.352665280570979
URS000077D9F7_GR_chr1_631012_631061_50_-	563.9766439834307	80.49737353653092	65.75754371459237	34.04294075000135	20.864479579908913	12.592009300817907	121.37963250177229	27.72599159240836	31.378716118658378	22.47772776024849	238.8364323698543	72.35676480903054	34.19597582039747	36.944355631761546	183.1487763725432	668.0564099430521	16.412552668375962	6.2544415006455045
URS000061CC6B_GR_chr1_633456_633533_78_+	4.255899019250986	2.2201908003302524	12.188244275948366	3.447641615783376	3.834791762666092	2.16719141812638	6.452627649992958	2.0083213225889356	1.2946647825684237	0.8014322083918528	5.6113849088892085	2.369462676274743	2.130842475005048	1.930066419632725	1.740311879529088	2.32300209322784	6.522820998425822	1.4715480118579478
