GeneIDs	GSM1666235	GSM1666236	GSM1666237	GSM1666238	GSM1666239	GSM1666240
URS00002E11B0_GR_chr1_629572_629638_67_+	0	0	0	212.97433841412035	113.69956530867108	318.3098593085455
URS000004104A_GR_chr1_629572_629639_68_+	129.74757633830257	263.55239669634875	225.7920800953353	536.7092860194165	1012.4182198334752	1905.555392565423
URS0000DCF513_GR_chr1_629584_629639_56_+	187.9337093999754	107.9236738774751	14.480850615267578	66.65407240323428	54.72590526716183	59.85917329442116
URS0000650AFF_GR_chr1_1167115_1167188_74_+	24.597671210276598	19.21139948170936	86.18136754711502	45.00266009321143	35.70648537350382	22.07606050059782
URS00002B452B_GR_chr1_1167160_1167182_23_+	35.82701170375394	29.89636600360669	119.3279418498138	49.82432567107923	29.40530749647179	20.069124191418943
URS0000EFC8EF_GR_chr1_9151691_9151756_66_-	295.94064765206707	203.11079040432662	417.40934207000294	417.8820689700938	280.2934964014348	247.75096058667816
URS00000EED18_GR_chr1_9151693_9151714_22_-	35.826761392418945	26.66087373874191	15.46806172854756	4.821274625897407	5.2506775279251805	2.620760946861513
URS0000532A91_GR_chr1_10298967_10299053_87_+	10.831382481865381	10.146498458530953	59.74490313789692	149.33096990276147	1197.9394948859374	1170.507486935897
URS0000676297_GR_chr1_10999862_10999945_84_-	219.42937434539826	182.03294689815192	114.80568673025337	296.51486317625887	222.077506894735	214.4256082479213
URS0000CBD6D6_GR_chr1_11727985_11728007_23_-	6.951511986787781	3.9463010312421156	17.65165984958183	261.9041605919503	179.49027759001658	184.71278685584033
URS000051BA34_GR_chr1_16514123_16514171_49_-	51.334244012235104	32.59460479641916	16.573331604000064	2729.088509133187	2173.89372827963	2104.2488341187427
URS0000287398_GR_chr1_16535279_16535350_72_-	1586.040381737885	1420.9142660004782	1642.5398566730544	2084.4336479687977	2241.5255491124285	2033.4157146028058
URS00004BF687_GR_chr1_16545939_16546009_71_-	4895.918480851825	13041.751630922485	11003.49724379805	15967.746287825668	24562.02603105632	23338.150557114754
URS00007131F2_GR_chr1_16727285_16727355_71_+	5.816990957565399	12.211885831928742	39.09649180051605	8.441396172409851	9.722318289817494	10.320788628779798
URS000064074C_GR_chr1_16872583_16872654_72_+	310.96911911246525	31.543853013713523	0	0	61.388759549201254	26.62774463605545
URS00006CC1A3_GR_chr1_23370254_23370346_93_+	544.3703670088549	364.69190822122397	192.47189672708134	1757.569060194414	1872.0582183792826	1835.1453612909427
URS00006E3D71_GR_chr1_28578749_28578822_74_-	147.95532219048056	4050.9140994446216	350.2497381846023	0	2216.951526202299	2053.0725395589143
hsa_piR_020619_DQ598378	1.6041946992686935	2.3744411975604662	0	94.82698576429065	80.86464640376597	81.27999776906607
URS00001CF899_GR_chr1_28648600_28648664_65_+	0	0	0	97.3131215031342	120.6811461412622	110.38024377331486
