GeneIDs	TCGA-BH-A0BT-01A-11R-A12O-13_mirna_gdc_realn	TCGA-BH-A0BT-11A-21R-A12O-13_mirna_gdc_realn	TCGA-BH-A18L-01A-32R-A12C-13_mirna_gdc_realn	TCGA-BH-A18L-11A-42R-A12C-13_mirna_gdc_realn	TCGA-BH-A1FC-01A-11R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FC-11A-32R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FG-01A-11R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FG-11B-12R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FU-01A-11R-A14C-13_mirna_gdc_realn	TCGA-BH-A1FU-11A-23R-A14C-13_mirna_gdc_realn	TCGA-E9-A1N4-01A-11R-A14L-13_mirna_gdc_realn	TCGA-E9-A1N4-11A-33R-A14L-13_mirna_gdc_realn	TCGA-E9-A1N5-01A-11R-A14C-13_mirna_gdc_realn	TCGA-E9-A1N5-11A-41R-A14C-13_mirna_gdc_realn	TCGA-GI-A2C8-01A-11R-A16E-13_mirna_gdc_realn	TCGA-GI-A2C8-11A-22R-A16E-13_mirna_gdc_realn	TCGA-GI-A2C9-01A-11R-A21U-13_mirna_gdc_realn	TCGA-GI-A2C9-11A-22R-A21U-13_mirna_gdc_realn
URS00002337B8_GR_chr1_629490_629570_81_-	3.267316703459215	13.745822267730405	4.362333417572137	2.8679615063748334	2.604512644521707	1.9029525793451216	5.519757324809911	6.195594007593927	3.144585193842205	6.0020261036993565	3.0583000028651295	2.7141074998817913	1.37038151297654	1.7440543872270313	8.267448994064504	10.767257337056654	2.0530720156538296	4.842344111114531
URS0000521EE0_GR_chr1_629498_629569_72_-	3.0955581192869266	13.625699888429484	3.6462700488129953	2.6698206759964127	2.3877982792438033	1.850384828534483	5.168460120366957	6.08274667116063	2.8877802375035504	5.909248054533968	2.5354293572139945	2.564253693720917	1.1528606379008988	1.3901420709890049	7.305451463841423	9.326145113488169	1.8604829593181607	4.516515009014905
URS0000DCB5E1_GR_chr1_629499_629525_27_-	2.904281514185969	13.180701074201073	2.3617528653810274	2.2303544752853	2.261709921263933	1.682168025940439	4.2550873888152765	5.072625391379656	2.6751933531172467	4.4818934519895315	2.2591958085681116	2.2725170285353853	0.8102652596567637	1.1414469298487702	5.764446015741126	8.204226606104806	1.6497251240829003	3.8997670657548986
URS0000DE3548_GR_chr1_629499_629526_28_-	3.0135824313865163	13.562908644704002	2.4748155025535232	2.4234147715514536	2.2774709660114167	1.738240293471787	4.623949453480378	5.843290127997292	2.7500239364212256	5.523862311846971	2.3381196796097927	2.380921909587933	0.853769434671892	1.2052149147565225	5.939354657599869	8.368563964932791	1.700597705001756	4.283779936086601
URS0000DBCB96_GR_chr1_629499_629538_40_-	3.044811264872387	13.595669293604253	3.1877382425023177	2.5936126643124053	2.348395667375094	1.8363667616516461	4.799598055701855	5.997423075320819	2.7976433985237574	5.809333232355858	2.3775816151306333	2.4765732752225333	1.0712903097475333	1.2689828996642751	6.450510085100848	8.444411976699554	1.7878078437197948	4.481604748075659
URS0000DC244F_GR_chr1_629499_629548_50_-	3.044811264872387	13.595669293604253	3.1877382425023177	2.5936126643124053	2.348395667375094	1.8363667616516461	4.799598055701855	5.997423075320819	2.8010447886739382	5.809333232355858	2.3775816151306333	2.4765732752225333	1.0712903097475333	1.2689828996642751	6.470111915653982	8.494977317877394	1.7968922331695907	4.481604748075659
URS0000DD91BE_GR_chr1_629499_629551_53_-	3.044811264872387	13.595669293604253	3.1877382425023177	2.5936126643124053	2.348395667375094	1.8363667616516461	4.808380485812929	5.997423075320819	2.8010447886739382	5.809333232355858	2.387447099010843	2.4853413170723715	1.0712903097475333	1.2689828996642751	6.479158914370814	8.517099654642701	1.7968922331695907	4.481604748075659
URS0000DC46F0_GR_chr1_629499_629555_57_-	3.044811264872387	13.603859455829316	3.2065820153644005	2.6037737325369394	2.348395667375094	1.8363667616516461	4.82155413097954	6.046965808389096	2.8010447886739382	5.809333232355858	2.4219762925915784	2.5148338214763735	1.0876043753782063	1.2689828996642751	6.676685053021635	8.630871672292844	1.8059766226193863	4.493241501722075
URS0000A0C3D0_GR_chr1_629499_629558_60_-	3.044811264872387	13.603859455829316	3.2505508187092595	2.6037737325369394	2.348395667375094	1.8363667616516461	4.82155413097954	6.046965808389096	2.8010447886739382	5.809333232355858	2.4219762925915784	2.5148338214763735	1.0876043753782063	1.2689828996642751	6.819929199371466	8.671956011999841	1.8059766226193863	4.500514472751084
URS0000DF26DD_GR_chr1_629499_629559_61_-	3.044811264872387	13.603859455829316	3.263113333950648	2.6037737325369394	2.348395667375094	1.8363667616516461	4.82155413097954	6.046965808389096	2.8010447886739382	5.809333232355858	2.4219762925915784	2.5148338214763735	1.0876043753782063	1.2689828996642751	6.819929199371466	8.687757681117915	1.8059766226193863	4.500514472751084
URS0000DF113F_GR_chr1_629499_629560_62_-	3.044811264872387	13.603859455829316	3.263113333950648	2.6037737325369394	2.348395667375094	1.8363667616516461	4.82155413097954	6.046965808389096	2.8010447886739382	5.809333232355858	2.4219762925915784	2.5148338214763735	1.0876043753782063	1.2689828996642751	6.819929199371466	8.687757681117915	1.8059766226193863	4.500514472751084
URS0000DEEFFD_GR_chr1_629499_629561_63_-	3.044811264872387	13.603859455829316	3.2788164780023834	2.6037737325369394	2.3680969733094486	1.8363667616516461	4.861075066479373	6.046965808389096	2.8010447886739382	5.809333232355858	2.4219762925915784	2.51802220033086	1.0876043753782063	1.2689828996642751	6.8334996974467135	8.687757681117915	1.8150610120691821	4.500514472751084
