smallRNA	logFC	logCPM	F	PValue	FDR
URS0000EFD981_GR_chr7_129774927_129774987_61_-	2.6733457549060358	9.855019284722417	55.433501069930976	3.703248503731959e-7	2.2062265490688663e-4
URS000075E13C_GR_chr7_129774966_129774987_22_-	2.686867252033296	9.690179449824473	55.328396512581705	3.7556817252871046e-7	2.2062265490688663e-4
URS000009262D_GR_chr17_59841311_59841331_21_+	3.0293952329351987	6.825601979352047	54.46552595083641	4.218406403573358e-7	2.2062265490688663e-4
URS0000EFD807_GR_chr7_129774926_129774988_63_-	2.4727623701932875	11.000440592521477	44.70457436491168	1.744777146430702e-6	6.843888356874428e-4
URS000069AA59_GR_chr14_100874490_100874585_96_+	-2.6089294026303866	4.1914637968561905	36.15612652864371	7.349087579731735e-6	0.0011789778881863072
URS000075CFEA_GR_chr14_100874493_100874585_93_+	-2.6089294026303866	4.1914637968561905	36.15612652864371	7.349087579731735e-6	0.0011789778881863072
URS000075C4DA_GR_chr6_6169334_6169409_76_+	-3.2533566116804593	3.6103261487140155	35.63233916984302	8.084377019286356e-6	0.0011789778881863072
URS0000EFBB37_GR_chr6_6169342_6169402_61_+	-3.2533566116804593	3.6103261487140155	35.63233916984302	8.084377019286356e-6	0.0011789778881863072
URS0000564D66_GR_chr14_100874553_100874574_22_+	-2.6242966096466764	4.1151449841123275	35.57179865488605	8.174464043231534e-6	0.0011789778881863072
URS000075E023_GR_chr6_6169343_6169366_24_+	-3.2482901467092433	3.602156844496628	35.549333809079215	8.20817373094868e-6	0.0011789778881863072
URS0000EFEDB5_GR_chr14_100874514_100874574_61_+	-2.614485561992784	4.120598622574352	35.51128412251322	8.265619356309356e-6	0.0011789778881863072
URS0000528CBC_GR_chr7_129774967_129774988_22_-	2.118260786559053	9.683119645761003	31.642114675305194	1.7263388799793603e-5	0.0022571880855730138
URS0000EFD9C0_GR_chr9_70809992_70810052_61_-	-3.3576075325897694	3.0043280909401258	29.310892576422564	2.7680152857750647e-5	0.003340781525677751
URS00000EEF5F_GR_chr10_103394341_103394361_21_-	3.143351393767881	5.446238998402711	28.492901332771755	3.2849963728487025e-5	0.003681542363571153
URS00002620A7_GR_chr17_58331245_58331267_23_-	2.2652198756498514	7.656474166857373	28.144758661396413	3.536607402913627e-5	0.0036992913434476535
URS0000EFD44E_GR_chr17_58331244_58331303_60_-	2.252478306389887	7.682596746906229	27.788242547044703	3.8164852037322176e-5	0.003718777416354714
URS0000D4FD8F_GR_chr10_103394339_103394361_23_-	3.0400499657365607	5.727899060182429	27.28938682695189	4.2499647383478084e-5	0.003718777416354714
URS0000EFD752_GR_chr17_58331242_58331305_64_-	2.2213836690642568	7.704314638955851	27.15460012701196	4.376212140072362e-5	0.003718777416354714
URS000075AE07_GR_chr17_58331232_58331318_87_-	2.213365849514089	7.7058419364133055	27.023180017781037	4.503299611901821e-5	0.003718777416354714
