GeneIDs	Non_treated_COLO205_1	Non_treated_COLO205_2	Non_treated_COLO205_3	Non_treated_Testis_1	Treated_COLO205_1	Treated_COLO205_2	Treated_COLO205_3	Treated_testis_1	COLO205_dil_A_NT_1	COLO205_dil_B_NT_1	COLO205_dil_C_NT_1	Non_treated_Testis_2	Non_treated_Testis_3
SS_22	64.86929139350809	60.02277509573366	51.57874322066642	10261.228667629259	7.326443112958493	18.90521327823515	14.659522081474721	18136.484345412653	113686.7351413366	11563.328321101653	1319.1876442613498	0	0
SS_28	917.7738157981307	879.4693404844686	607.0415301443041	27391.68370314359	138.34302383729977	289.67101735149845	187.57078349302373	2214.7701405587336	341047.4158356254	20012.35681942088	2095.12428918883	0	0
mSS_28	2688.577084529617	1961.0170763785302	893.9748344338357	27406.409234197028	468715.56317065674	328274.0044462688	243933.60547212267	801645.3439967999	118744.10092190286	11403.073836296813	1380.981486552516	0	0
mSS_22	16.407483905503533	19.586283992239053	9.737481909320348	929.9168588674006	3762.1932874658155	5376.426906685397	3860.3189861019846	68502.35984636613	18535.740204858994	1003.5449367915367	162.2287001569429	0	0
UniSp100	7.208967123768263	17.401021726757367	18.775872375504985	132.3428982248174	2074.7372428922513	3559.362909001635	5881.798788532885	6011.0784019226	13.05458672849863	11.482078386590322	11.567941885684592	0	0
UniSp101	236.69486212731178	865.2603399451701	682.1499675537983	3965.9772869963112	62322.20194185551	151894.60804167253	212005.87737016927	206774.4246806507	698.66650637285	692.2775682217258	759.7321784556949	0	0
UniSp102	180.69841738680287	636.5136010621709	618.16298965714725	5866.067363084532	59181.480960656016	117093.40087984932	207221.34427719234	307981.81058652286	765.4239516233719	797.4018840962866	817.6268063961004	0	0
UniSp103	0.9852302622151652	5.228341768096559	5.282769083311776	52.88276794528942	271.54929671859384	719.0670490019711	1386.8356936337314	1858.80491435103	6.552686325965597	8.366215234673717	8.559108516428246	0	0
UniSp104	1.5830394263531677	4.5695960416904855	5.469193468147965	17.454709321342385	588.2894444756612	900.6945012746681	1281.7773445750454	632.9516691028974	7.845774068748554	6.368628007673324	8.66777706141498	0	0
UniSp105	6.875348850463521	17.45350421594906	25.481723492377938	188.1153843361241	1826.0502158984007	3109.4887406857365	5977.473920841272	7134.603659663905	30.015782951809822	28.15857052533642	30.292817513775056	0	0
UniSp106	0.60541764440885	2.483688557471692	2.0856228053548542	11.371635443654608	154.87559204024254	344.6570441129321	450.3569834091851	268.65602355999977	0.9766523737031395	1.6683361758293631	1.1684789783519791	0	0
UniSp107	16.440974805267174	39.77231615406869	38.11006024600739	176.22154926823353	3759.073564769082	5934.477223660626	8316.8136988703	6423.914760130185	25.34412909759647	25.14869578929603	27.68477243409344	0	0
UniSp108	1.633785272445337	5.44732042989638	5.591614275655974	71.5032603405055	331.5931671371144	1275.1105326900947	1759.3952388619696	4277.34992787835	15.626437979250232	12.659727451881636	17.332632925384083	0	0
UniSp109	31.543468478601273	98.97690734071392	51.005743613164775	435.81385258685805	9757.829409049047	10842.667136126782	16664.864247919315	27609.332582223768	42.606134252008225	47.27770310034092	58.60389468026516	0	0
UniSp110	0.6436638443417699	1.7976157418658054	1.9552215019206374	9.891535895206733	132.24484890557108	269.0844032110932	393.7302526120144	252.5959362839771	1.1283590424183603	1.9627484421521917	2.074050186574763	0	0
UniSp111	2.1466783621319188	5.539255273032173	5.9532903510316615	66.85329872401329	735.8856835568581	1222.1554453213182	2449.5528154520366	2248.332118457255	7.248713917624701	7.867186443256523	8.88044023547504	0	0
UniSp112	5.842769385134243	23.970019632550684	18.24341368730848	305.70676611379656	1514.4389707383534	4378.482349092309	5464.811629797995	12750.267493815503	13.70568831096739	16.904170958035753	20.536018044536032	0	0
UniSp113	6.373800548323648	18.522699202654305	16.444450295622968	247.10080419545642	1081.9119828682956	3924.727097782727	4808.931327557975	15313.032892083365	30.185720464834166	29.94025542370007	43.60237731669327	0	0
UniSp114	0.16983214890284168	0.3981430214542205	0.31921983704826734	4.3310176060522645	40.09334187739524	106.0668644236336	119.97981537646031	152.19035323911734	0.6511015824687596	0.45388557724769435	0.2921197445879948	0	0
UniSp115	7.296464646883006	26.00272073117514	23.801509880074384	159.35133332316613	1459.712363532505	2643.794940602108	4071.6144332827052	4019.827830160581	13.872370316079394	13.289279014701952	14.080171689141347	0	0
UniSp116	4.300353808798635	17.433054142574367	18.994378353964525	179.53094934084535	900.4265296877363	2668.9617147971694	4887.374271178374	7222.633763984848	21.388686984098754	22.98770975448647	30.63751881238889	0	0
UniSp117	2.617045481733229	5.600967441357578	7.726237325997738	26.237060465956624	514.7463966020912	863.7458679916399	1679.5116019419231	734.3985545646565	6.927720837467603	7.222914267120065	6.864813997817877	0	0
UniSp118	13.934795750337722	49.21934518267404	43.28716756325619	362.4133025413917	4952.655923462477	10217.342705085584	16989.394446391783	25928.310030511802	40.60725239382913	40.42378554034547	47.32339862325515	0	0
UniSp119	2.326700439968931	7.3462816681323515	8.839676117622096	104.63748503222597	377.1214976119641	1274.5018535249365	1891.2748066874638	3491.206653212394	4.325267812339971	6.624275992263647	6.412028393706485	0	0
UniSp120	3.938815130214265	16.148861924283846	13.756140437920983	93.76206381909958	455.63648090284437	1076.0483395777628	1808.238483780527	1630.9198854219305	6.9798089640651035	5.3347502657696575	7.492871448682066	0	0
UniSp121	1.2613094034716246	2.5698322293863325	3.3532447782735244	28.572186256677657	426.69958132332863	673.9645255163759	794.2523450652226	1249.5629002790686	3.4508383870844264	2.600641685851654	3.121007351178136	0	0
UniSp122	2.034589143856043	5.541969884542088	7.250918988632868	40.67924393869045	751.2684671684261	1748.0904031764603	3728.2148946453767	2330.3547088345476	9.343307708426702	7.016825680694086	7.957341842576977	0	0
UniSp123	95.63404550296005	556.2195550031962	416.291716516112	9579.180071982437	23949.89923713276	97415.96056334623	127587.43376585236	524723.4618514541	682.105737622757	617.1626946534509	654.7145460368216	0	0
UniSp124	3.491748981442425	16.499589731364882	12.042568352645885	282.4889948180985	689.2821279009958	2096.514026281709	2897.1968049852626	12670.247408086094	10.211226117857558	11.099342440370645	12.502725068366175	0	0
UniSp125	53.59671647651175	178.2149695223316	176.83677664036193	1028.1775994766117	20386.061450486824	34830.441841329986	54705.725319663245	58880.40511347366	92.23960788360178	87.8668501969377	104.64722458273572	0	0
UniSp126	0.8988196648533993	1.9148869590941395	2.037261000042042	10.282384693714613	189.1415273709086	313.4878496357143	326.5228456986038	376.1905231513235	1.0417625319500154	1.5211300426679486	1.4313867484811744	0	0
UniSp127	0.49251323181824086	1.9726176972050016	1.3965867870861695	19.331709061353365	122.53250466102244	317.59794063213013	447.64398953322615	937.1721752093015	1.1068726901968915	2.159023286367411	2.074050186574763	0	0
