smallRNA	GSM1666235_fc	GSM1666236_fc	GSM1666237_fc	GSM1666238_fc	GSM1666239_fc	GSM1666240_fc	GSM1666235_salmon	GSM1666236_salmon	GSM1666237_salmon	GSM1666238_salmon	GSM1666239_salmon	GSM1666240_salmon
hsa_piR_018849_DQ595899	2919.1236192203014	2693.576804984448	2904.9114129975787	3967.240790227087	3337.6700183736766	3351.858358002131	7525.028383879633	5693.729112091774	7121.021344558555	12320.121895589336	4502.540820803197	4312.859722606683
hsa_piR_008113_DQ581032	1626.721669134572	1621.5455565673824	1209.0393350648396	861.4083111267513	788.8342381385028	776.5037997721828	8969.123577223414	3216.919475405344	5487.785005508903	3841.4164519048463	3036.2998599511343	3273.6644241067584
URS000025C8A1_GR_chr2_27050845_27050871_27_+	2528.4837651354933	2334.516921123964	819.6385513015031	317.0066993937905	278.6024537163495	273.7390272946796	5917.087281451058	5298.537254222995	1980.3056802927008	1013.0682888830725	762.5527557307844	705.0273472443002
hsa_piR_016735_DQ593039	686.0398640756396	828.9483785109	314.6246540263899	2836.687860855694	3038.253287737274	3041.461896027898	5290.729125808908	4746.5150884654595	2240.053711401858	43381.44890348734	35597.9757115958	33283.01173809464
hsa_piR_016984_DQ593431	23.904496938620337	21.465060542192145	2395.2890464941447	809.8715281942017	793.359664797895	732.1367193681614	46.2502931109764	38.305886532089716	6032.83816612029	2001.9061439629656	1898.2951090222855	1636.8950629696967
hsa_piR_016658_DQ592931	101.3832241784708	103.80009895649664	34.1918684681864	127.30476772396108	137.26679914631148	141.236981346175	1849.675329027053	1837.3733525661453	603.3235136487303	2245.3670898591645	2284.0682883097043	2069.043345512985
hsa_piR_008112_DQ581031	1953.0189249859563	1979.138430169798	1583.7376153868563	1014.3996081485452	953.2670258069224	940.84308739116	779.0750595905351	804.8056090628949	562.5303314568162	154.7661383256708	142.20716889931896	138.92028923324298
hsa_piR_001040_DQ571333	25.568329044837277	28.297971007884183	400.1489232861623	208.93044545722964	184.0116365390243	191.82237704091617	99.13278125478055	111.72924800756508	2209.7075195039306	1167.2803230953518	1013.200873890267	999.4766859243142
hsa_piR_020548_DQ598263	92.22051240472368	91.65091848096688	884.2909147659129	1757.035008662301	1982.163733945289	1973.3763655572577	108.1947342895572	83.44607195727795	1667.5260204153246	2590.447160160648	1984.6927061680776	1723.04543249814
hsa_piR_016946_DQ593358	34.85902790367803	32.118036525661594	307.4443616480708	51.35486700267822	51.53883536720246	51.46421541462868	155.23415254573553	137.74672988683085	1475.4904302595266	209.18172873157332	206.69740478917208	199.15969905510372
hsa_piR_020365_DQ597975	127.7020229495388	116.95356108133127	206.05803862501375	1421.5092676076083	1274.8274613731105	1267.258036077889	71.39061181229881	71.55616319739723	1447.6307459828936	15534.100985427816	13124.06108112174	12271.001490809356
URS00004E6E4D_GR_chr17_8226661_8226691_31_-	256.3581314425027	192.43671277784932	360.3822936546846	756.6247355208617	534.4569170439441	514.9617249535187	528.1447611362505	357.0128137267578	229.04329531969896	1644.4134645374595	1101.6727661487328	993.0185782304432
URS00004CEA14_GR_chr12_124927842_124927869_28_-	41.65979619797036	39.968366045954646	17.512183067618945	13.643694740350217	11.467995154661516	11.651019013661086	446.8850215082455	414.4023726925412	235.17490179784505	138.4523658918305	112.26938612014008	102.51312915337532
URS000027190B_GR_chr21_8216294_8216322_29_+	22.310475969727182	34.79514778267488	248.5302856744088	287.8273842424282	425.4035345486208	424.68297191052193	22.739655114552676	18.172322753031143	1299.9667423544313	1176.542159214202	870.8148569761327	826.0162550793349
hsa_piR_019675_DQ596992	61.619963877796685	86.28063913824504	471.7734547121284	4237.658819980828	4457.384116712249	4476.254927797083	85.26751762604128	80.11556827476494	830.1914165083737	6954.737323761441	5797.990978351127	5436.357388190017
hsa_piR_022628_DQ600952	18.74429037143702	18.315002694517837	136.4998853369076	52.701044883726105	50.81369281643932	48.481554547131445	111.18739618538342	99.4933546015332	640.6335712867968	268.77528663007195	257.2504874520045	221.33174353999087
URS00003F0F42_GR_chr21_8210897_8210926_30_+	35.725849525448396	33.090204517575906	161.83160006290308	584.2412003747835	480.6755111956779	502.8180342787085	28.277047962693363	42.51445988285796	785.981537255973	1856.3923139440633	1594.0454658280837	1518.9901467007287
hsa_piR_016659_DQ592932	133.88030860269402	136.65383017874203	40.79238568552325	148.18871647319048	152.07850717393637	147.62839749081198	256.352119246919	258.8562505979055	61.515361465164474	207.61221886853852	186.0128778875378	141.72095282771076
URS0000441811_GR_chr21_8210896_8210927_32_+	124.66523847595404	185.8344367606895	277.2960532769917	1194.6964862440263	1650.3438741423784	1661.5152040498788	219.74338662579535	178.10760047468418	203.5437083338104	1393.27312420758	1062.9367819463607	1132.7956321557028
hsa_piR_020381_DQ597997	78.6596989795779	93.7675004453449	1332.635506562449	1125.477474927983	1528.170782904544	1453.5012394425491	34.058485652542366	36.410367962171634	669.8755339401839	581.757929360264	465.4243453771834	437.3706758655901
URS0000036192_GR_chr21_8216553_8216581_29_+	123.20502218693149	638.7712994439867	516.9067210901344	209.4943848398308	355.9107067671532	354.0711389625851	87.38848749074617	88.33236566803997	351.29765307627343	213.67731076616823	165.15412116237732	156.94881136791173
hsa_piR_014923_DQ590404	10.855631853849	8.708639999640823	103.43783513114823	229.70524464853625	186.28106415159783	194.5120980017842	22.696757486891254	12.684064513497423	560.0550683685883	641.2376850135842	422.2528342261727	425.4945324771772
hsa_piR_020490_DQ598167	58.676260920643635	66.93799940722917	247.57885976920704	824.8068260366384	1488.0462284289831	1471.290681045122	27.98831242687422	26.098636744052364	517.4205373093234	221.4621812846652	239.4116780800704	212.8885719629479
hsa_piR_006426_DQ578783	17.644764958587363	15.58242239292085	87.4568531297133	170.18235239463505	138.2067987491526	133.94011458104785	53.397771252045786	54.5366952602486	303.8638587197218	531.1119003017349	421.3714229351483	389.67700253482855
URS000049DAFB_GR_chr21_8210893_8210923_31_+	180.9621031328119	180.4291243371779	228.34221724841	3053.531649262327	2985.492452886378	2938.3603643447236	138.2867708510301	109.93370085819484	66.91380071469132	4924.933096971329	3740.72146178647	3398.674612523659
hsa_piR_009294_DQ582566	7073.380785541718	15755.43326240081	20523.31226331443	15022.399189659098	44257.39701510891	43811.30682389433	29.85949453846556	36.63936396772431	322.3461213247313	358.35088983959963	336.4383842304126	298.8865662297575
URS00001650DC_GR_chr21_8210692_8210721_30_+	274.70100777432793	358.48767687425254	10132.4926320112	16346.87450027334	15383.415786072846	15099.10813099091	28.926385307582432	27.2505267136325	327.38277920411235	599.7504424012135	501.9703685551503	406.4857299538733
URS0000372535_GR_chr16_47505331_47505357_27_+	18.64539126022832	19.894410753453705	62.481923118168446	63.12482766535368	72.95739774622484	62.902187223468545	28.679830172844955	25.267391887998457	326.86856362954256	296.5227942581035	297.7358320648655	247.9781611090592
hsa_piR_019676_DQ596993	62.9638282712796	66.70444553529782	34.93516995662523	67.01782856460026	79.67168062366133	74.57983713773228	99.37606722997734	101.90316704359849	55.40319690305341	119.9499888114714	124.68633761909398	119.55453675358912
URS000009C1FC_GR_chr6_26575631_26575660_30_+	1526.11218506144	1386.358267244196	510.945443152855	204.85552862811173	169.69678544432972	164.4458112213879	94.65397574781623	84.74089158937207	51.67397000070515	25.993765265774396	25.0607030012416	18.276650549143387
hsa_piR_022290_DQ600508	NA	NA	NA	NA	NA	NA	49.45478753721671	43.05125212319914	176.2830352474168	2.998752006037337	7.524180960263898	5.9777309885706265
URS0000336885_GR_chr20_29298646_29298674_29_-	86.34474167997152	105.22185815187883	379.262151461031	4330.617860145081	4496.662671545253	4451.621344739628	34.63701386857073	25.45159849647496	230.02512344236376	2710.2410618488157	1888.4974663856951	1765.812572216304
