sncRNA	MCF_7_Monolayer_salmon	MCF_7_Spheroid_salmon	MCF_7_Monolayer_fc	MCF_7_Spheroid_fc
URS00002E11B0_GR_chr1_629572_629638_67_+	0	207.5168177810703	30.320424269328335	89.45179529244953
URS000004104A_GR_chr1_629572_629639_68_+	223.42361053468744	1147.789956634512	31.445968070928217	90.09909075029627
URS0000DCF513_GR_chr1_629584_629639_56_+	114.44651877621133	57.65071447685307	NA	NA
URS0000650AFF_GR_chr1_1167115_1167188_74_+	39.12192634728858	31.946536114383868	22.21087406450242	16.12482278406297
URS00002B452B_GR_chr1_1167160_1167182_23_+	57.36798192942373	30.281446039756805	21.862316053117496	15.81409519685772
URS0000EFC8EF_GR_chr1_9151691_9151756_66_-	307.2324000061774	295.70794406766015	70.84582156868817	65.84410032659608
URS00000EED18_GR_chr1_9151693_9151714_22_-	29.026131406929974	4.002929548569219	NA	NA
URS0000532A91_GR_chr1_10298967_10299053_87_+	22.48731235663301	849.6815028915463	9.66331512666512	186.47525351651132
URS0000676297_GR_chr1_10999862_10999945_84_-	185.29033776366367	231.04427538833733	NA	NA
URS0000CBD6D6_GR_chr1_11727985_11728007_23_-	7.653099664874711	196.77403557804794	119.02177834124974	194.84084057419182
URS000051BA34_GR_chr1_16514123_16514171_49_-	37.086628432946576	2216.375025043149	213.68704520384767	3757.002660730063
URS0000287398_GR_chr1_16535279_16535350_72_-	1614.9491557406002	2035.6240315813043	417.77262869944656	693.0051148253926
URS00004BF687_GR_chr1_16545939_16546009_71_-	10431.708144793061	20754.04687606448	871.025503250178	1619.648838276707
URS00007131F2_GR_chr1_16727285_16727355_71_+	17.075945988203756	9.302295594797236	120.82292912929715	165.5270704569313
URS000064074C_GR_chr1_16872583_16872654_72_+	116.20936657049322	30.834550230856664	349.1215858288865	517.7442378976837
URS00006CC1A3_GR_chr1_23370254_23370346_93_+	392.6033095327727	1751.9739532857263	438.13880134560856	2111.2602215740076
URS00006E3D71_GR_chr1_28578749_28578822_74_-	1875.5469342460385	1455.4861003520184	57.324831821119034	170.0489684786955
hsa_piR_020619_DQ598378	2.2471328739858776	81.66613124484894	2.9016195206061757	113.2809947027308
URS00001CF899_GR_chr1_28648600_28648664_65_+	0	106.10168302435898	0.6191651594838655	36.0360820806382
URS0000668E72_GR_chr1_30935688_30935773_86_-	1.3073880504787199	16.565632274438936	NA	NA
URS000075C4DE_GR_chr1_40754355_40754446_92_+	66.63178438019553	41.926664727135396	672.0430549077237	801.0278668390052
URS00007169CB_GR_chr1_40754371_40754432_62_+	2225.1821860059335	2930.964581467315	586.7139468050301	759.5036374413512
URS00004DC6A5_GR_chr1_40754413_40754434_22_+	220.24298937035985	88.00964652023984	86.28856283195135	43.003992800930966
URS00006D4A6F_GR_chr1_40757300_40757358_59_+	443.0315677505773	386.7774523669518	152.8868361370175	77.29537118797022
URS000029360B_GR_chr1_44775865_44775938_74_+	33.14709682348146	44.51145870869863	NA	NA
URS0000010A7C_GR_chr1_44776492_44776589_98_+	474.08345429818695	373.66910903347105	477.6202884319923	272.7752294285837
URS00003640C3_GR_chr1_44777842_44777912_71_+	1859.5409356693324	2021.8543162799726	1011.7329908079012	1283.890887562348
URS000040478E_GR_chr1_44778390_44778458_69_+	7.840299319715697	127.19192013210649	31.609330889749955	91.42639543872484
URS0000EFDDC6_GR_chr1_65058440_65058499_60_-	156.81140499306719	273.6869625433946	78.37518665353193	134.83705647289156
URS00005FF45E_GR_chr1_65058441_65058462_22_-	110.76618451139389	255.65658033586638	60.50017814885316	142.7770740050338
URS000075D737_GR_chr1_65058442_65058463_22_-	443.61385019869687	598.4802510379503	116.47046310382005	191.53358713182172
URS0000EFF2AC_GR_chr1_71067641_71067702_62_-	10341.730068812123	4466.345156511174	2418.675317991292	1154.7298312453215
URS0000668E0B_GR_chr1_75787072_75787150_79_+	437.61661620608385	1766.8208988034955	215.5164401955484	551.5602518295075
URS00000A3335_GR_chr1_75787889_75787972_84_+	312.39184461016634	87.29505138463685	27.75579538107046	382.276789435292
URS00002E0A2C_GR_chr1_92837289_92837383_95_+	135.22955148898714	793.1626360987573	154.6987810617407	983.2810312999233
URS000047CD44_GR_chr1_93847573_93847657_85_+	111.75141128571521	160.18649179968375	97.63663978700154	65.63365614545243
URS00000F4AC3_GR_chr1_109598893_109598967_75_+	37.00011566025157	19.194120505048033	104.49022255970588	43.316541466257405
URS000061E740_GR_chr1_109598940_109598961_22_+	229.19848817442914	81.10498386464658	98.71953988698247	41.50479338128895
hsa_piR_020809_DQ598639	2.7441254784248352	18.94140863120285	6.580409161156124	30.074143813305874
hsa_piR_021190_DQ599117	13.899784094592674	157.69330419737375	4.201786965810818	27.13855550117846
hsa_piR_016946_DQ593358	496.4400539065998	199.61398449624804	114.71895521097305	51.45631415274025
URS00001246A7_GR_chr1_145287766_145287841_76_+	144.10214707224446	62.53658519606497	NA	NA
URS00006DBFC1_GR_chr1_145459658_145459729_72_+	2218.4355333297985	1335.546626186411	869.2256379488181	377.6819752918961
URS00004F0321_GR_chr1_146035692_146035763_72_+	12002.703199156198	26664.6320285838	2683.7432846779543	6561.864861884667
URS000034AAC2_GR_chr1_146037061_146037132_72_+	740.846645125156	1842.807956716651	1499.7105093705627	1985.8324055940045
URS000044BAE3_GR_chr1_146038044_146038115_72_+	6769.634187315031	11423.751455309846	6587.3229910055625	22577.574241463222
URS00001AD596_GR_chr1_146039401_146039473_73_+	2794.065439188381	3700.684946576374	430.3886542192189	621.6740744836237
hsa_piR_022628_DQ600952	245.93437220740424	241.6123236738083	49.501154502637604	50.586158436036236
URS000030BAD5_GR_chr1_153671250_153671321_72_+	304.0590520077523	463.55391484064256	862.2975209264587	854.6735243630677
hsa_piR_016926_DQ593325	67.04230286821702	89.56318777194134	NA	NA
hsa_piR_016984_DQ593431	1614.6003145791512	1789.695150079702	799.1191893974373	778.3287048101494
URS000075BA3A_GR_chr1_155195177_155195272_96_+	2369.619178975712	591.1180884470614	5228.204455112547	1274.9718203985226
URS000025576D_GR_chr1_155195237_155195258_22_+	10801.206658517413	2213.345606387623	5199.67373576529	1268.7108940651617
URS0000573EBC_GR_chr1_155920020_155920047_28_-	0.09724192051026352	23.56828969170383	NA	NA
URS0000EFC850_GR_chr1_156420353_156420414_62_-	287.4225316804515	25.0961834118015	153.5660336921466	121.68043612583467
URS00003496BE_GR_chr1_156420354_156420375_22_-	45.95964800360697	29.99203605409981	NA	NA
URS000068668E_GR_chr1_161440171_161440242_72_-	0.2027853228605499	33.2895910561423	39.251444126017255	188.44082846713863
URS00006174C2_GR_chr1_161440825_161440896_72_-	1111.9125249931074	1797.562862178932	1120.1197717283305	1335.656903784466
URS00000711F0_GR_chr1_161440826_161440864_39_-	234.42188562716024	1234.3434472124034	120.64891065829327	512.2727492468385
